,index,Image name,Cell line,Condition,Number of voxels nucleus,Number of total HP1a condensates,Physical pixel size Z,Physical pixel size Y,Physical pixel size X,Pixel size (um2),Voxel size (um3),Major axis nucleus (um),Intermediate axis nucleus (um),Minor axis nucleus (um),Volume nucleus (um3)
17,7,2023-04-28_Image2_NC,IMR90,Non-Confined,1161568.0,5,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,16.849502948040318,13.465451041675632,9.4,1245.3253984200787
29,36,2023-04-28_Image30_lidremoved,IMR90,Recovery,728156.0,17,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,21.89464947133135,13.46494578182744,5.6000000000000005,780.6612792466484
30,53,2023-04-28_Image31_lidremoved,IMR90,Recovery,870572.0,10,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,20.38556821482728,14.54606283606779,6.199999999999999,933.346496075447
31,0,2023-04-28_Image32_lidremoved,IMR90,Recovery,718807.0,3,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,17.381348887937243,14.890888847283115,6.199999999999999,770.6381491760634
32,3,2023-04-28_Image33_lidremoved,IMR90,Recovery,1281624.0,12,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,16.185692570501537,14.905099603469406,12.6,1374.038298597013
33,15,2023-04-28_Image34_lidremoved,IMR90,Recovery,1053007.0,7,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,16.50030788390157,13.381887327262426,11.0,1128.9363703322854
34,22,2023-04-28_Image35_lidremoved,IMR90,Recovery,905303.0,5,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,14.780769664735518,10.819396810305948,12.8,970.5818507103264
35,27,2023-04-28_Image36_lidremoved,IMR90,Recovery,1113909.0,11,0.3,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0016081607771823,18.39008359310229,16.13054738121335,12.9,1791.3447631503857
36,38,2023-04-28_Image37_lidremoved,IMR90,Recovery,1036087.0,11,0.3,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0016081607771823,19.12589388914376,13.283056126347592,12.9,1666.1944751485028
37,49,2023-04-28_Image38_lidremoved,IMR90,Recovery,1297851.0,5,0.3,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0016081607771823,20.35838909794941,14.056669585998012,13.8,2087.1530728268567
18,12,2023-04-28_Image3_NC,IMR90,Non-Confined,1167128.0,6,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,19.20455419230104,14.134681103233827,8.6,1251.2863143675013
19,18,2023-04-28_Image4_NC,IMR90,Non-Confined,1034587.0,7,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,18.452143048787445,14.614159976145444,8.200000000000001,1109.1881559884864
20,25,2023-04-28_Image5_NC,IMR90,Non-Confined,1257873.0,6,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,20.52953929003145,14.831920741158909,8.399999999999999,1348.574680851108
21,31,2023-04-28_Image6_NC,IMR90,Non-Confined,1241032.0,13,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,19.726760249494724,15.481384817141418,8.2,1330.5193237520896
22,44,2023-04-28_Image7_NC,IMR90,Non-Confined,1116432.0,9,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,20.170042458320307,13.685452868285935,9.2,1196.934768527478
23,53,2023-04-28_Image8_NC,IMR90,Non-Confined,1160364.0,9,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,18.48201665021957,14.31588543578858,9.4,1244.0345813695938
15,0,2023-04-28_Image9_conf_imm,IMR90,Confined_immediate,723573.0,6,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,21.510667290215235,16.477509467143953,4.0,775.7478120187641
