,Condensate ID,x_corr,y_corr,frame,area_cond,Frames visible,t,Condition,Video
6,19,-0.29115624061401607,1.0210235685285194,6,439,22,6,Non-Confined,8104
7,19,-0.2648461660606359,1.564570027465518,7,459,22,7,Non-Confined,8104
8,19,-0.18060795095143548,0.8049905100952531,8,377,22,8,Non-Confined,8104
9,19,0.09341316636834282,1.487797827962388,9,437,22,9,Non-Confined,8104
10,19,0.30375383173419884,1.7266143538563483,10,458,22,10,Non-Confined,8104
11,19,0.31864190234151507,1.4337300884117126,11,385,22,11,Non-Confined,8104
12,19,0.22319162830305167,2.4021925954522305,13,131,22,12,Non-Confined,8104
13,19,-0.02428297706075724,1.9144890057766857,14,222,22,13,Non-Confined,8104
14,19,-0.18549665380242394,2.1267746714117113,15,319,22,14,Non-Confined,8104
15,19,-0.23277121693248187,1.7857416702089328,16,294,22,15,Non-Confined,8104
16,19,-0.3555963346417122,1.955159028894403,17,408,22,16,Non-Confined,8104
17,19,-0.6466363873776823,1.372637674409424,18,173,22,17,Non-Confined,8104
18,19,-0.3183783629538712,0.9935587956760805,20,166,22,18,Non-Confined,8104
19,19,-0.9702124491368027,0.9954614838979473,21,217,22,19,Non-Confined,8104
20,19,-0.5093199656234642,0.5515384428886352,22,319,22,20,Non-Confined,8104
21,19,-1.3542563176575548,0.4473307358421264,23,371,22,21,Non-Confined,8104
22,20,2.9172232451588584,5.189826534896338,0,452,23,0,Non-Confined,8104
23,20,3.5299920615550024,4.685054336925419,1,436,23,1,Non-Confined,8104
24,20,3.8760441677520974,4.383986362216372,2,459,23,2,Non-Confined,8104
25,20,4.211076720192464,4.322321292307462,3,417,23,3,Non-Confined,8104
26,20,4.233106742941335,4.361457985799702,4,406,23,4,Non-Confined,8104
27,20,4.528930789141578,3.849398175162221,5,329,23,5,Non-Confined,8104
28,20,4.326496562243719,3.8084823079155576,6,440,23,6,Non-Confined,8104
29,20,4.689913684546272,3.707156742151393,7,441,23,7,Non-Confined,8104
30,20,4.6002273466416055,3.4019849995005593,8,431,23,8,Non-Confined,8104
31,20,4.956691357969557,3.1949277339553372,9,370,23,9,Non-Confined,8104
32,20,4.946133458749334,2.870411654969393,10,399,23,10,Non-Confined,8104
33,20,5.08502473842435,2.912357894659518,11,37,23,11,Non-Confined,8104
34,20,5.052137043476758,3.6307119068714515,13,245,23,12,Non-Confined,8104
