,r_major_axis,Confiner height ($\mu$m),p_agg_min/z_length_x
295,0.170821382718557,$<3.0$,0.4968693336134102
296,0.1223281182824804,$<3.0$,0.4205567471692588
297,0.2000360386506189,$<3.0$,0.3629881674226723
298,0.1862673796946732,$<3.0$,0.2624177596439386
299,0.1704994154482627,$<5.0$ -- $3.0$,0.3269145516447483
300,0.2315599351298015,$<5.0$ -- $3.0$,0.3394233913497541
301,0.4739496353500713,$<5.0$ -- $3.0$,0.104190520512039
302,0.2080374283127553,$<5.0$ -- $3.0$,0.1803195191221172
303,0.2745459346841413,$<5.0$ -- $3.0$,0.1717568087435314
304,0.2701495601093071,$<5.0$ -- $3.0$,0.1098126091985797
305,0.2849501813035297,$<3.0$,0.42193412988777
306,0.1540193485372839,$<3.0$,0.4171304407085514
307,0.3371701611780454,$<3.0$,0.5595419631103535
308,0.2052483911842781,$<3.0$,0.3914048611430777
309,0.3604250532816969,$<3.0$,0.3192173814879139
310,0.4244903245459102,$<3.0$,0.1287364404770378
311,0.3024735174523578,$<3.0$,0.2972247557179462
312,0.2646748225781887,$<3.0$,0.3231302890410101
313,0.2292221527822716,$<3.0$,0.4357312929944265
314,0.2062880788328323,$<3.0$,0.5697555802900894
315,0.3549206096472504,$<3.0$,0.151879074411192
316,0.1538564231051013,$<3.0$,0.3623655641862647
317,0.2569255742899271,$<3.0$,0.2837163228433763
318,0.2731700328086948,$<3.0$,0.4075844332548796
319,0.0795864076205123,$<5.0$ -- $3.0$,0.3665812411341203
320,0.1939509214216854,$<5.0$ -- $3.0$,0.400482813775338
321,0.1300192930421405,$<5.0$ -- $3.0$,0.3413581120995816
322,0.1187693578685033,$<5.0$ -- $3.0$,0.3137600865155785
323,0.1305708757791991,$<5.0$ -- $3.0$,0.2924805346321936
324,0.0792039862555315,$<5.0$ -- $3.0$,0.4199392553119588
325,0.1795064609809337,$<5.0$ -- $3.0$,0.3546229266241854
326,0.2426366121754598,$<5.0$ -- $3.0$,0.0664817568014233
327,0.1224190048819304,$<5.0$ -- $3.0$,0.3752234772168905
328,0.1713521645516267,$<5.0$ -- $3.0$,0.3601326857998073
329,0.1484248661055926,$<5.0$ -- $3.0$,0.3371683597058735
330,0.1995328354131821,$<5.0$ -- $3.0$,0.270925999492482
331,0.4338623361097092,$<5.0$ -- $3.0$,0.1720988696785045
332,0.1105270797591945,$<5.0$ -- $3.0$,0.2329163777781665
333,0.3699000645102986,$<5.0$ -- $3.0$,0.2429971805657802
334,0.2920797007172672,$<3.0$,0.3824936780757649
335,0.1978785677608948,$<3.0$,0.4767531755985181
336,0.3426860687930989,$<3.0$,0.2647385914390514
337,0.2448452744135159,$<3.0$,0.4081578829810627
338,0.3849836803133328,$<3.0$,0.2240324525058242
